fval,d1,d2,d3,d4,lam,p1,p2
2.5868539582818264,-0.44609451819658547,0.04330536672096968,-0.106344399309085,-0.5470854570142885,670.9688454919972,1385.1044652808346 + 0.0im,1452.5067098079562 - 23.37459257007307im
3.5814103405633153,-0.420047561054429,0.07098672275639868,-0.06072624405464336,-0.5753361445661763,657.9174701410643,1386.9502208156841 + 0.0im,1439.530485530314 - 27.78611794004278im
2.221760683632806,-0.5895323386131704,0.07162630646234942,-0.10580730308540125,-0.4503406796760794,634.3082895510148,1386.5118850814665 + 0.0im,1449.0881743158159 - 33.738385795659745im
2.7030326804181266,-0.37424075184538497,0.06526179027689043,-0.04785082340747626,-0.6398362303860968,655.6216110716624,1375.5023484908156 + 0.0im,1446.545321654011 - 24.67234516214353im
2.3281685027903114,-0.4975084294173783,0.06362737850430553,-0.06864809753155783,-0.5412192122328238,643.7539701427887,1389.23200416347 + 0.0im,1452.1973790431516 - 34.31049172664346im
3.046263653434753,-0.4031747259512005,0.07346492240741238,-0.054479105726866144,-0.5838527882751291,643.2804496636247,1375.2394517879898 + 0.0im,1440.5215203972523 - 23.443027948616344im
2.269896772567564,-0.5538889192663969,0.05134421559988322,-0.09079108912392486,-0.5171681224414206,647.8618011917938,1391.0587820450567 + 0.0im,1466.91798991665 - 37.97896394696349im
2.719027619385509,-0.4455034002908593,0.05311074188219272,-0.10032137156244925,-0.48502942683590466,628.3569500454047,1370.275117751887 + 0.0im,1445.5357113946272 - 17.386762936016236im
2.1402860928133793,-0.553402118703168,0.06570686660678446,-0.11377859182413971,-0.499972507252837,650.062451739567,1378.9754032998069 + 0.0im,1452.6138242878653 - 30.24162413327361im
2.3947145125221416,-0.5908697496690707,0.03722012486120636,-0.08858368460475544,-0.45552375434149006,637.2331357747878,1395.8666836263544 + 0.0im,1474.8154345577452 - 38.80576390317784im
2.2584261891338064,-0.4037184322713128,0.055036379093484,-0.05902545545021542,-0.640898165854538,661.9267792623014,1380.1961027133818 + 0.0im,1456.078145091185 - 27.541621512941788im
2.3782990561330095,-0.38292003717858636,0.03618028102296819,-0.02076371195748747,-0.6729753265174288,640.2485470911585,1387.6789441115116 + 0.0im,1473.151835063917 - 28.355317231794505im
3.2436937337017127,-0.45744428454709596,0.07816675619712918,-0.057061379932513534,-0.5837543136878633,661.0752539824126,1389.831216737082 + 0.0im,1441.290889967918 - 35.21909563705399im
2.3468762165751302,-0.5983963562825948,0.05784695243352392,-0.12554885562985124,-0.41793234916938415,647.3163811108083,1392.0244073133726 + 0.0im,1451.2969957993485 - 33.43979507053351im
2.2499776846113266,-0.5201695255963364,0.04968803527194652,-0.11813970968324733,-0.5017900813165513,649.1155538178218,1379.0015499557117 + 0.0im,1456.4710899852332 - 24.746099152993697im
2.7207765359751725,-0.4901268292761954,0.028389061854697528,-0.06966014628299493,-0.5666554284364517,637.7277559458264,1389.8485743291487 + 0.0im,1479.5956179835605 - 26.496819286872483im
2.7487039682525047,-0.5279628432838717,0.0433536772824265,-0.09140222978378115,-0.5131250544478129,619.7695230889257,1376.9837341060345 + 0.0im,1466.0026889294081 - 24.943819263296213im
2.3058183176490497,-0.4723714268862089,0.05679530294364539,-0.08888566820095029,-0.5178638743901508,631.4342531963918,1373.6165456797285 + 0.0im,1450.3867537515655 - 22.535201592736215im
2.2066317754767804,-0.45939073241329975,0.050821153131108035,-0.08194410139083513,-0.582777661083079,659.1470121303263,1383.9362069711242 + 0.0im,1458.395505890755 - 28.553139865656018im
6.60486377531362,-0.4706108221704671,0.08278796992067204,-0.03304841258769992,-0.6349382649093357,635.1824679050314,1370.4895494997104 + 0.0im,1452.296396154448 - 37.81388930855348im
2.4353513797883783,-0.3947335251056232,0.03606664128498562,-0.03618966284296686,-0.6636680120600881,643.7196870513837,1384.7322742966905 + 0.0im,1472.7174759708473 - 26.16285542787637im
2.1888595070840355,-0.45523614386200545,0.07381445474175766,-0.038718099516625096,-0.5950195914802191,626.2581128586086,1375.9639922832703 + 0.0im,1450.619539716595 - 31.094268667021815im
