redχsq,d1,d2,d3,d4,lam,pB,repL,impL,repH,impH,pB_g11,pB_g22,pL_g11,pL_g22,pH_g11,pH_g22
2.25,0.2901545536725552,0.0235324603238986,0.1923591855700742,-1.227292332393914,711.9679959318667,NaN,1373.32,0.0,1454.2,-11.02,NaN,NaN,4.71,1.52,1.18,2.95
5.07,-1.407544226528704,0.0225907357687339,-0.6078930105922736,0.4167299604634934,786.2401180475896,1397.58,NaN,NaN,1451.82,-34.65,0.47,0.53,NaN,NaN,2.2,4.06
4.24,-0.168650108536346,0.0240356686367253,-0.147575933564206,-0.7339862030913796,844.3036077529221,NaN,1377.39,0.0,1444.28,-1.8,NaN,NaN,3.32,0.14,0.46,3.28
2.51,-0.7049116306120967,0.0237814551878583,-0.3759822472745717,-0.239395073560888,810.0664595311075,NaN,1375.09,0.0,1451.8,-5.37,NaN,NaN,3.77,0.53,0.78,2.94
2.33,-0.3810405827817431,0.0225554526414843,-0.075029052123645,-0.5552977306308315,638.5120837809147,NaN,1373.58,-0.0,1458.97,-14.77,NaN,NaN,5.37,2.27,1.43,2.94
6.63,-1.507586792033556,0.0242575983139869,-0.8487858075052412,0.5840235975237918,937.681167073213,NaN,1385.68,-0.0,1440.78,-0.19,NaN,NaN,2.54,0.75,0.15,3.66
5.23,0.386718100388703,0.0237432026557908,0.0149900707582737,-1.1825395647294512,842.9281633258842,NaN,1372.49,0.0,1446.5,-3.88,NaN,NaN,3.62,2.49,0.67,3.24
5.51,-0.9116689018719708,0.0244508660090273,-0.630369984044377,0.0459445175487818,875.6316757652078,NaN,1368.41,-0.0,1458.78,2.27,NaN,NaN,3.67,2.32,0.48,2.42
2.57,-0.8659768629864294,0.02324943910477,-0.3236406207550117,-0.0793307837642484,689.3716899274224,NaN,1391.45,0.0,1453.91,-21.11,NaN,NaN,2.59,1.81,1.73,3.39
3.57,-0.1200274916533713,0.0243451822075624,-0.0471852318073467,-0.7543827148159159,732.5060445741686,NaN,1377.43,-0.0,1443.34,-7.66,NaN,NaN,3.94,1.12,0.99,3.27
8.18,-0.0359559590461568,0.0242305591613257,0.1320933462081898,-0.91343461979107,739.6554284725821,1395.48,1446.61,39.16,1446.61,-39.16,1.25,1.74,2.22,3.91,2.22,3.91
2.54,-0.9319393310247552,0.0215145976628825,-0.3489586960365791,-0.053355995592223,688.828211482676,NaN,1389.66,0.0,1462.64,-21.3,NaN,NaN,2.85,1.85,1.81,3.32
2.44,0.516173024274504,0.0236023658441149,0.3182783497304176,-1.4060845396250763,673.4993151177683,NaN,1370.99,0.0,1450.93,-10.61,NaN,NaN,5.34,1.7,1.16,3.02
8.18,0.7620575285077528,0.0241408415182262,0.090793904378846,-1.6270932211538418,1007.4992152066676,NaN,1396.48,0.0,1483.42,-9.72,NaN,NaN,1.34,1.75,1.71,2.8
3.92,0.0842209966191239,0.0237269258938879,0.1465954479305182,-1.0624289895846926,749.2157989843846,NaN,1397.15,0.0,1452.76,-30.12,NaN,NaN,1.11,1.09,2.07,3.82
2.78,0.1715755941659378,0.0239027617753384,-0.1330337435813944,-0.962630687390841,854.107010114172,NaN,1373.09,0.0,1453.41,-8.45,NaN,NaN,3.63,3.08,0.98,3.03
2.81,0.4040207568724397,0.0241819328500555,0.2610987869828072,-1.3587717748128436,754.4716071954077,NaN,1390.94,-0.0,1448.78,-18.12,NaN,NaN,2.6,1.68,1.59,3.5
3.2,-0.1860059356307763,0.0231335305504394,-0.1172063120787707,-0.7122295643829705,784.4643244097817,NaN,1375.31,-0.0,1445.84,-4.81,NaN,NaN,3.81,0.53,0.76,3.17
3.51,0.4297682901244587,0.0235245575486184,0.3013393616929398,-1.4395224209055488,780.9289777150889,NaN,1396.64,-0.0,1458.2,-29.7,NaN,NaN,1.38,1.24,2.11,3.9
6.41,-0.918447999348193,0.0215510004255043,-0.3546084565078135,-0.0431581312597673,771.2493266153851,1397.28,NaN,NaN,1446.1,-34.0,0.88,1.08,NaN,NaN,2.13,3.96
3.35,0.3972149871992558,0.023740931155843,0.2907675196867172,-1.379269637395531,753.2635667798348,NaN,1396.04,0.0,1453.48,-27.01,NaN,NaN,1.61,1.41,1.97,3.74
2.4,1.0063974840439576,0.0232839694054994,0.509341045606647,-1.954695522049388,794.2402020539997,NaN,1382.59,-0.0,1449.22,-9.65,NaN,NaN,3.31,1.13,1.09,3.2
2.92,-0.4678589670052644,0.0250332018772616,-0.1415777377503394,-0.5414633558894257,752.7899055634736,NaN,1394.18,-0.0,1460.12,-25.89,NaN,NaN,2.08,1.61,1.99,3.68
6.94,-0.4886946587341824,0.0238824917421897,-0.1306006199197436,-0.5211936044098671,800.5357661369961,1396.25,1455.0,44.84,1455.0,-44.84,1.17,1.52,2.46,4.43,2.46,4.43
2.29,-0.4123436018271916,0.0227112752012828,-0.1325476630890086,-0.5449032292820299,701.131082959965,NaN,1379.57,-0.0,1457.01,-14.38,NaN,NaN,4.04,1.78,1.39,3.03
5.07,-1.161197875564671,0.0237250924619154,-0.7767036229407888,0.2667851058906469,986.47513952643,NaN,1391.4,0.0,1459.67,-6.86,NaN,NaN,2.1,2.22,0.85,2.69
3.77,-0.681894060358685,0.0227686404988327,-0.3933843524144396,-0.2261013627166256,838.0234738541174,NaN,1378.75,0.0,1444.58,-2.79,NaN,NaN,3.29,0.11,0.57,3.28
3.92,1.4237337606220066,0.0228728823996548,0.4758297375064043,-2.267799109395505,971.7900441482024,NaN,1395.72,0.0,1461.19,-17.49,NaN,NaN,1.57,2.09,1.42,3.29
2.35,-0.9187384014493636,0.0239764262617063,-0.4521787759369831,-0.0646607766532612,818.8962740002603,NaN,1384.01,0.0,1453.42,-10.72,NaN,NaN,3.15,1.16,1.15,3.11
4.61,1.2028462841954233,0.0231878642412666,0.576124001833269,-2.1419651167870675,866.7659273673103,NaN,1388.76,0.0,1438.58,-7.44,NaN,NaN,2.6,0.93,1.0,3.71
3.29,-0.943335384578551,0.0235568675773831,-0.5384174597154243,0.0004199315396579,883.0034989962417,NaN,1379.39,-0.0,1450.09,-1.94,NaN,NaN,3.1,0.16,0.46,3.06
3.04,-0.3576359881446753,0.0233968164303765,-0.0409108580985446,-0.6248698387516219,698.206443728148,NaN,1396.0,0.0,1460.55,-29.02,NaN,NaN,1.63,1.43,2.09,3.66
8.17,-0.5006653827541975,0.0246060839208783,-0.3542091122697836,-0.4597103049923908,897.4398577724139,NaN,1369.68,0.0,1461.92,0.08,NaN,NaN,3.53,1.02,0.09,2.0
2.72,-0.3597583014101952,0.0238883147217586,-0.0176484822630936,-0.6157653827134594,660.7421549719257,NaN,1394.6,0.0,1462.74,-27.18,NaN,NaN,2.02,1.64,2.05,3.52
3.03,-0.163896915493242,0.0252903830237434,-0.1333761218295919,-0.8388530003698806,964.255384564068,NaN,1389.0,-0.0,1449.3,-5.24,NaN,NaN,2.4,0.38,0.77,3.38
2.98,-0.341952219682845,0.0230865533556215,-0.0713870463359251,-0.5515149357660927,672.6131863533351,NaN,1389.55,-0.0,1447.93,-17.31,NaN,NaN,2.87,1.84,1.55,3.35
7.25,-0.8145046044142596,0.023973387405924,-0.2784199465926975,-0.0675302554910506,701.3711897640956,1397.58,NaN,NaN,1438.91,-27.04,0.49,0.58,NaN,NaN,1.94,3.69
4.06,0.9518091187104268,0.0240225262844289,0.5542694954515497,-1.9440026931791072,789.7179292489302,NaN,1397.07,0.0,1451.12,-29.18,NaN,NaN,1.16,1.12,2.04,3.92
3.89,0.315501792859038,0.0244178351737121,-0.0321629426964433,-1.113268964655668,839.3321506565765,NaN,1368.13,0.0,1450.47,-4.59,NaN,NaN,3.96,2.76,0.72,3.04
7.69,0.3941741980118393,0.0247358383658921,0.1369827225462173,-1.265671329160328,836.6519671723255,NaN,1380.87,0.0,1435.21,-1.73,NaN,NaN,3.1,0.01,0.48,3.61
2.24,-1.287763154300804,0.0243289193184867,-0.597439197803396,0.3340434570923837,727.2498626775555,NaN,1376.4,-0.0,1454.77,-11.85,NaN,NaN,4.25,1.52,1.23,2.99
3.24,-0.7897505272475169,0.024415352505745,-0.2360978816521283,-0.1896528233785058,683.605871555721,NaN,1396.78,0.0,1461.34,-31.28,NaN,NaN,1.33,1.24,2.17,3.69
8.15,1.1510689250584156,0.0240365508966035,0.4682934133983752,-2.117421554706205,929.020091214875,NaN,1376.08,-0.0,1461.21,-0.05,NaN,NaN,3.08,0.97,0.07,2.13
2.92,0.6926508887331994,0.0250596999136872,0.4096351654809332,-1.5653689356354905,675.9359397619475,NaN,1378.26,-0.0,1446.82,-11.4,NaN,NaN,4.2,1.68,1.23,3.19
4.6,0.6204421501584767,0.0241912650792349,0.4324138682008469,-1.5263877708785871,694.1947311892297,NaN,1396.82,-0.0,1444.67,-25.01,NaN,NaN,1.32,1.29,1.88,3.62
6.95,-0.3930862617189468,0.023177608921662,-0.3715034653741751,-0.4888626141242322,885.6386895158182,NaN,1368.29,0.0,1461.62,1.79,NaN,NaN,3.62,2.24,0.42,2.09
3.5,-0.6027811894317985,0.0244582436980924,-0.2016277002416311,-0.2968922569300361,687.5481716913706,NaN,1392.55,0.0,1445.68,-19.28,NaN,NaN,2.42,1.78,1.66,3.49
6.58,-0.146068523740192,0.0235973768867215,-0.174629018369008,-0.796814885669972,885.9978711767293,NaN,1370.75,0.0,1459.29,-0.13,NaN,NaN,3.52,0.96,0.11,2.32
5.26,0.0471192303875074,0.0249313514485467,0.0282772510355093,-0.9490411074277714,793.3629288507542,NaN,1387.91,0.0,1436.58,-9.49,NaN,NaN,2.84,1.32,1.16,3.67
7.1,-0.9336461269474476,0.0243337546917098,-0.6306585932369477,0.0364366697093698,909.9591633143144,NaN,1374.68,-0.0,1459.9,1.61,NaN,NaN,3.18,2.0,0.4,2.31
2.93,-1.7821668010263374,0.0236822408090359,-0.7836558866621357,0.8184769598914229,714.5774302816725,NaN,1394.51,0.0,1454.04,-24.63,NaN,NaN,2.02,1.62,1.88,3.57
3.03,-0.2573342359890714,0.022889636468948,0.0189150165703207,-0.7480718020012802,693.5488756254218,NaN,1395.66,0.0,1467.45,-29.76,NaN,NaN,1.74,1.47,2.22,3.73
3.83,-0.4670316265980179,0.0235400324651518,-0.1605169912224051,-0.564761172289095,818.7771948728645,NaN,1397.04,0.0,1461.72,-31.34,NaN,NaN,1.17,1.08,2.23,4.12
2.83,-0.1216607150913377,0.0246217209916085,0.036281019600311,-0.8573124037708811,730.5511116748701,NaN,1393.88,0.0,1455.16,-24.32,NaN,NaN,2.15,1.66,1.88,3.58
2.27,-0.0968137197757968,0.024104050620798,-0.0045311523138605,-0.8312598487771664,717.9990928334469,NaN,1376.4,-0.0,1451.76,-11.17,NaN,NaN,4.26,1.49,1.19,3.06
2.39,-0.6144116152820603,0.0237337402103357,-0.2139198899874399,-0.3543124782099493,707.2934127237296,NaN,1388.54,0.0,1456.64,-19.49,NaN,NaN,2.98,1.83,1.67,3.31
2.61,-0.7687912079587679,0.0231387624936959,-0.2209148933330659,-0.1971146929579408,651.614091520466,NaN,1393.84,-0.0,1461.97,-25.69,NaN,NaN,2.18,1.72,1.98,3.44
5.11,-0.888060731103332,0.0239544600728109,-0.3739945697936384,-0.0264982056605105,747.6302640695316,NaN,1395.71,0.0,1439.41,-20.58,NaN,NaN,1.73,1.54,1.74,3.76
2.73,-0.5938570977527804,0.0237786663259694,-0.1933170143225642,-0.2789126956954459,643.8285735655226,NaN,1383.35,-0.0,1449.27,-14.6,NaN,NaN,3.71,1.92,1.4,3.19
4.2,0.1529404890363918,0.0243423157837632,0.0253570233305427,-1.046588793268168,819.9411545175635,NaN,1376.21,-0.0,1443.43,-2.55,NaN,NaN,3.51,0.07,0.55,3.28
5.7,1.0170769241713131,0.0259723687169926,0.3996834269964643,-1.8948955883688936,830.1330254715089,NaN,1362.08,-0.0,1452.28,-0.0,NaN,NaN,4.45,1.41,0.02,2.82
2.97,-0.39535041536697,0.0228349633772767,-0.1454362298354118,-0.58444932667312,790.1439708576203,NaN,1393.64,0.0,1450.52,-20.56,NaN,NaN,2.15,1.55,1.69,3.62
3.52,0.1311088954582913,0.024511085897687,0.0712954963189277,-1.1553113521414178,913.0038094697518,NaN,1395.17,-0.0,1450.02,-18.82,NaN,NaN,1.78,1.27,1.6,3.86
2.39,-0.3496849838092,0.0243295012423544,-0.0366256138224814,-0.5616895941422307,633.1825620043999,NaN,1386.97,-0.0,1454.48,-18.56,NaN,NaN,3.29,2.02,1.61,3.2
3.26,-0.293712471826053,0.0245223079809174,-0.0666910682128758,-0.6086850683998706,699.8930080340766,NaN,1389.83,0.0,1445.5,-16.78,NaN,NaN,2.81,1.8,1.54,3.44
3.43,-0.546219356941776,0.0224650566120262,-0.2075438035313074,-0.2612518946256237,632.7320918283044,NaN,1369.65,0.0,1446.27,-8.81,NaN,NaN,5.83,1.73,1.06,3.08
2.86,0.513869764851798,0.0229834828205813,0.2081071003144571,-1.4930854166806284,925.1934777651646,NaN,1387.2,-0.0,1448.38,-4.96,NaN,NaN,2.58,0.4,0.76,3.33
6.16,-0.2325145131302839,0.0241264205537669,-0.1118489825610488,-0.6019280421714687,735.8950395451084,NaN,1381.98,0.0,1435.87,-6.59,NaN,NaN,3.45,1.12,0.96,3.5
4.89,0.4740496972483277,0.0243187553901648,0.3748945762829317,-1.4415979426418826,726.5206525461612,1397.57,NaN,NaN,1452.98,-34.9,0.52,0.58,NaN,NaN,2.19,3.86
2.97,-0.4893612069148984,0.0234746754561126,-0.2089320216242617,-0.4419994505835038,762.1480955299064,NaN,1387.88,0.0,1445.56,-13.67,NaN,NaN,2.93,1.54,1.36,3.44
3.48,1.0305250503952674,0.0242545075074119,0.5371389606708513,-1.9036365643403064,722.3520451800963,NaN,1378.06,-0.0,1443.68,-8.44,NaN,NaN,3.94,1.25,1.05,3.27
8.21,0.4886675364196077,0.0230174887379481,0.1009169450854176,-1.3943396927184826,902.5908737863252,NaN,1374.04,-0.0,1458.58,0.58,NaN,NaN,3.23,1.66,0.24,2.42
2.9,-1.969059859333249,0.0226997258491414,-0.9255743928179108,0.9529981229618616,797.7079492445598,NaN,1393.37,-0.0,1459.6,-21.91,NaN,NaN,2.19,1.53,1.81,3.57
2.25,0.304128922587367,0.0244409645420623,0.1849156717948822,-1.2721377564246052,764.2796209611456,NaN,1381.37,-0.0,1453.82,-12.22,NaN,NaN,3.58,1.41,1.25,3.09
3.1,-1.5260937107193635,0.0235046264333825,-0.7400275935335217,0.5166848166198282,859.8186861108874,NaN,1394.15,-0.0,1451.46,-19.22,NaN,NaN,2.01,1.39,1.62,3.7
2.68,-0.6940917903235628,0.023453966476915,-0.2447806825564696,-0.1697434133427069,634.8972841001621,NaN,1380.08,-0.0,1449.78,-13.47,NaN,NaN,4.15,1.94,1.34,3.12
3.04,-0.3358535945704945,0.0227778072143981,-0.2048621073479737,-0.6269099728700112,892.5292670961312,NaN,1387.16,0.0,1445.15,-6.21,NaN,NaN,2.66,0.63,0.87,3.46
2.51,-0.9929712952027416,0.022919412360281,-0.4326340538012772,0.0966581296416864,684.8073298834391,NaN,1378.95,0.0,1449.76,-12.17,NaN,NaN,4.1,1.68,1.26,3.13
7.92,-1.3963392929283809,0.0248089326198438,-0.7472019290974313,0.635772906029462,716.6577059567242,NaN,1363.06,0.0,1436.69,-1.38,NaN,NaN,5.58,0.23,0.42,3.31
2.89,-0.5872090997700492,0.0227912400308785,-0.2864253935727603,-0.3891923234319129,845.5324947774175,NaN,1390.91,0.0,1446.93,-13.6,NaN,NaN,2.47,1.32,1.34,3.55
3.87,-1.700976074470753,0.0239341756400498,-0.7538490030557783,0.6797024599028924,782.7700840673485,NaN,1397.26,-0.0,1461.72,-33.69,NaN,NaN,1.02,0.98,2.29,4.1
7.12,0.7094914887087677,0.0231907624216096,0.2168630313864603,-1.5720403467621558,864.6227500125212,NaN,1372.26,-0.0,1450.95,0.57,NaN,NaN,3.47,1.67,0.25,2.97
2.73,0.3928011723160982,0.0238314241449605,0.2556106494678091,-1.346133254848282,751.1347379591843,NaN,1390.43,-0.0,1449.24,-17.75,NaN,NaN,2.67,1.68,1.57,3.46
4.45,0.30310868653841,0.0236875149914998,0.3178971057853524,-1.2712052225901682,698.0544698610151,1397.56,NaN,NaN,1458.06,-35.87,0.55,0.61,NaN,NaN,2.24,3.81
3.44,-0.5428432213321347,0.0236917071636851,-0.2600384364914222,-0.3928982602680806,802.3866511882663,NaN,1388.29,0.0,1442.68,-11.56,NaN,NaN,2.8,1.35,1.25,3.54
7.59,-0.3315260700345692,0.0232342565429138,-0.2237059931502997,-0.6779587020892303,887.5816010540399,NaN,1372.25,0.0,1463.54,1.57,NaN,NaN,3.57,0.13,0.4,1.81
5.23,-2.330170391224957,0.0236378747565292,-1.1526906595919426,1.4517223057181523,763.8254332883115,NaN,1386.79,0.0,1437.04,-9.31,NaN,NaN,2.99,1.35,1.15,3.59
3.56,0.5408507374107946,0.0230603762398201,0.4668119994275602,-1.4886105958837108,649.712709473728,NaN,1397.46,0.0,1460.0,-31.67,NaN,NaN,0.8,0.8,2.12,3.57
4.09,-0.0009700456555615,0.0230574655970223,0.1407036786473448,-0.989418184803257,724.4751535472755,NaN,1397.58,-0.0,1460.45,-35.55,NaN,NaN,0.45,0.47,2.28,3.92
3.06,-0.656784547233277,0.0241324224108033,-0.1646155362022248,-0.3299323914180473,676.1125394633334,NaN,1396.32,0.0,1464.06,-30.69,NaN,NaN,1.52,1.36,2.18,3.68
5.75,-1.0464728922385902,0.0254845004310522,-0.6333439215714678,0.153406861409609,853.4812335403568,NaN,1367.79,0.0,1452.82,-0.0,NaN,NaN,3.83,1.25,0.01,2.82
2.64,0.2470070017390701,0.0223942158097647,0.2950821236595649,-1.201006677980462,642.8437390781245,NaN,1394.42,0.0,1461.08,-25.72,NaN,NaN,2.06,1.66,1.96,3.41
5.69,-0.1352947003895262,0.0224206624204198,-0.0565051306222629,-0.7075498015240791,736.9098603744307,NaN,1384.16,-0.0,1436.63,-7.73,NaN,NaN,3.26,1.25,1.04,3.51
2.93,-0.821110647216063,0.0224049695355424,-0.3976544480985789,-0.0611302883772506,726.9502276893753,NaN,1374.22,0.0,1446.79,-7.49,NaN,NaN,4.31,1.07,0.96,3.13
4.13,-0.5688255261052585,0.0254947280761799,-0.1704714821060533,-0.2901468704946603,658.278206218626,NaN,1392.58,0.0,1443.09,-18.1,NaN,NaN,2.43,1.82,1.61,3.47
3.91,-1.9156495625741448,0.0230467872746575,-0.8895823837567504,1.1048780006472754,646.2978963825379,NaN,1379.2,-0.0,1443.43,-10.03,NaN,NaN,4.12,1.66,1.16,3.23
2.5,-0.1378291408657211,0.0244298101143819,-0.0847933589176796,-0.7929345621320789,781.8600458915621,NaN,1370.72,0.0,1451.59,-5.48,NaN,NaN,4.31,0.56,0.79,2.92
2.54,-0.0548447401996212,0.0228175796028294,0.0021149615063127,-0.838489461926935,707.532497927755,NaN,1370.98,0.0,1449.75,-8.6,NaN,NaN,4.94,1.28,1.03,3.02
5.02,-0.659649873163135,0.024179961817902,-0.5318487158016925,-0.188541216745924,867.4789161853531,NaN,1364.61,-0.0,1461.43,-3.76,NaN,NaN,4.01,2.83,0.63,2.23
4.08,-1.229849598944751,0.0245165588042603,-0.459200204993052,0.2406094701398791,709.6052426706433,NaN,1397.59,-0.0,1461.3,-36.3,NaN,NaN,0.39,0.41,2.31,3.91
2.84,0.2541909426779826,0.0239050790597481,0.172325069860541,-1.124220575180066,684.0226823261798,NaN,1373.0,0.0,1447.53,-9.42,NaN,NaN,4.82,1.48,1.09,3.11
4.29,-0.792361049100427,0.0224538108150329,-0.5798829007350074,-0.055541602289217,891.0095656358924,NaN,1377.32,-0.0,1455.19,-4.02,NaN,NaN,3.14,2.34,0.65,2.79
2.46,1.1668636231333536,0.0226526356579781,0.6620828515298578,-2.1402038951696993,731.7554369301009,NaN,1389.92,0.0,1455.76,-19.41,NaN,NaN,2.76,1.73,1.66,3.36
2.84,-0.2031188689267498,0.0228613095427964,-0.0277664226502041,-0.6362747823813677,634.3152742043447,NaN,1365.84,0.0,1449.3,-9.75,NaN,NaN,7.21,2.07,1.11,3.0
2.58,-0.8791803682727294,0.0230150345460154,-0.2716088145470791,-0.0784693475587532,644.0785644925439,NaN,1393.75,0.0,1461.24,-25.26,NaN,NaN,2.2,1.73,1.95,3.41
5.17,-0.1649687501772005,0.02395146926176,-0.267770846027961,-0.7177205691544093,933.5953175177492,NaN,1382.21,0.0,1458.93,4.09,NaN,NaN,2.76,2.27,0.65,2.54
2.69,-0.5077656058197159,0.0249432181797856,-0.273587809189119,-0.4030828665166092,764.5817175239962,NaN,1364.6,-0.0,1450.92,-4.56,NaN,NaN,5.16,0.38,0.72,2.9
2.99,-0.9982991722696044,0.0240742206768607,-0.4566596037578584,-0.0257930720212938,831.1500938740802,NaN,1393.55,-0.0,1458.06,-21.03,NaN,NaN,2.14,1.47,1.75,3.6
2.26,-1.0320505363849355,0.0225535395269383,-0.4576517281119956,0.0788502212495633,726.4682631577643,NaN,1383.2,0.0,1454.11,-14.38,NaN,NaN,3.52,1.65,1.38,3.14
2.99,0.1208555401807223,0.0230738054766942,0.2250573827617839,-1.029152844862463,637.5223798338332,NaN,1394.89,-0.0,1453.52,-23.87,NaN,NaN,1.95,1.62,1.83,3.38
2.9,0.3102181228871465,0.0231928574722639,0.2336042645312043,-1.311698610511779,767.2996953525476,NaN,1394.26,-0.0,1457.82,-24.32,NaN,NaN,2.05,1.56,1.9,3.64
4.79,0.2987279906632364,0.022516278812887,-0.1533356713112536,-1.0440529223675965,893.7916802433339,NaN,1395.05,0.0,1462.63,-39.34,NaN,NaN,1.8,2.55,2.2,4.27
2.33,0.966463522528103,0.0243436618107596,0.5334831303038413,-1.874451659536828,689.1760740043001,NaN,1368.25,-0.0,1452.16,-10.11,NaN,NaN,5.75,1.61,1.12,2.96
2.35,0.930388636931788,0.0239926446964235,0.4627316490072731,-1.8797468057598925,784.7142264432517,NaN,1375.02,-0.0,1452.7,-7.35,NaN,NaN,3.96,0.86,0.93,2.94
4.29,-0.3123022042243961,0.0256879726750271,-0.077137632640695,-0.5699253411673001,701.1143886174542,NaN,1391.71,-0.0,1441.05,-16.73,NaN,NaN,2.55,1.8,1.56,3.56
2.43,-0.4219631012911412,0.0238200743511911,-0.1630832546842671,-0.4970702099818702,717.6401457775314,NaN,1380.44,0.0,1449.62,-12.07,NaN,NaN,3.81,1.55,1.25,3.17
3.46,-0.3256204929195271,0.0236859790170383,-0.1449180215079255,-0.521164567777517,697.0137997840537,NaN,1369.13,-0.0,1445.11,-6.72,NaN,NaN,5.19,1.09,0.92,3.13
2.32,-0.5746687121514327,0.0234218171444789,-0.2690774522898064,-0.3955733534228425,779.9200149507974,NaN,1379.71,-0.0,1454.65,-10.36,NaN,NaN,3.64,1.21,1.13,2.99
4.64,1.296682602169041,0.023594432940748,0.6912647836843192,-2.18984821274921,716.6397562082362,NaN,1382.4,-0.0,1445.56,-11.39,NaN,NaN,3.58,1.53,1.23,3.29
3.63,-0.707694250210247,0.0237041706546107,-0.339429142604022,-0.1970262841256145,767.1939222629036,NaN,1384.81,-0.0,1442.12,-9.87,NaN,NaN,3.18,1.3,1.15,3.44
2.84,0.3092883195728184,0.0224813277821997,0.1289784732450739,-1.2266000473690557,802.6917160360522,NaN,1377.36,0.0,1447.45,-5.15,NaN,NaN,3.59,0.55,0.78,3.14
3.21,-0.5774459298079027,0.0244526471949574,-0.1750863132837313,-0.4220322372895473,735.1026226763876,NaN,1396.13,-0.0,1459.86,-29.63,NaN,NaN,1.59,1.39,2.12,3.78
2.37,-0.6608282441833508,0.0241743210271534,-0.2476195587058591,-0.2808592426726173,701.492402461733,NaN,1386.29,0.0,1452.64,-16.96,NaN,NaN,3.26,1.82,1.53,3.27
2.45,-1.2118959631605124,0.0235190117941272,-0.6036906857468582,0.2927257433590755,754.8764959325855,NaN,1371.99,0.0,1450.55,-7.02,NaN,NaN,4.41,0.88,0.91,2.99
4.25,-1.0870692845744765,0.0251861559365478,-0.5814680288733851,0.1161508772493282,920.9543145458474,NaN,1389.8,0.0,1440.08,-6.8,NaN,NaN,2.42,0.74,0.94,3.78
2.25,-0.1404210205655366,0.0228732070376022,0.0223013581859967,-0.793416671231133,668.5888759508042,NaN,1378.7,0.0,1455.93,-14.74,NaN,NaN,4.29,1.94,1.41,3.04
6.54,0.0863299922416261,0.022717086098761,-0.0209261903812107,-1.0437517492709962,964.3218396937308,NaN,1390.89,-0.0,1435.33,-3.09,NaN,NaN,2.21,0.2,0.64,4.05
2.8,-1.0309643374336468,0.0242240432426452,-0.5585139831521511,0.0582276396476366,903.317198285864,NaN,1385.73,-0.0,1447.72,-5.27,NaN,NaN,2.73,0.46,0.78,3.33
2.48,-0.1942417959325314,0.0233939755010889,-0.1027654980516423,-0.7304400029522479,773.6109488871962,NaN,1374.6,-0.0,1449.94,-6.72,NaN,NaN,4.01,0.81,0.89,3.03
3.47,-0.8546911709135715,0.0231618072270999,-0.2907552256027392,-0.0529595900557086,667.3629276232614,NaN,1395.44,0.0,1449.47,-23.68,NaN,NaN,1.81,1.56,1.82,3.48
7.39,-0.5484477928384995,0.0237111187803583,-0.3429267808084981,-0.4335607538673927,855.2964214426578,NaN,1362.56,0.0,1463.06,0.96,NaN,NaN,4.41,0.56,0.31,1.83
2.96,-0.0523757947448396,0.0253779158142823,0.1113572773774045,-0.898629108662623,679.4350699446169,NaN,1394.9,-0.0,1454.69,-25.83,NaN,NaN,1.95,1.63,1.93,3.53
2.43,-1.1599897307509313,0.0246045433278833,-0.5889574405797344,0.224878450483575,777.0319999880173,NaN,1371.28,0.0,1451.89,-6.18,NaN,NaN,4.32,0.69,0.84,2.92
3.68,1.4383357580811809,0.0225490151999635,0.773781731432976,-2.26202451948158,660.0549006184784,NaN,1376.78,-0.0,1444.18,-9.28,NaN,NaN,4.37,1.55,1.1,3.2
4.67,-0.3328447841031263,0.0244570022549984,-0.3885929097744504,-0.5474054606647721,1007.7488836992086,NaN,1396.22,0.0,1462.92,-13.23,NaN,NaN,1.42,1.87,1.23,2.98
4.84,-0.8229511566210319,0.0232986610179526,-0.4474142138734347,-0.0344215771448328,773.3482229678168,NaN,1374.21,-0.0,1441.24,-3.24,NaN,NaN,3.88,0.31,0.63,3.3
3.86,-1.0830189166194804,0.0243458959582384,-0.5728310280576077,0.160506445797312,837.538463209422,NaN,1382.94,-0.0,1441.88,-5.28,NaN,NaN,3.07,0.61,0.81,3.45
7.67,-0.3359970209550741,0.0241242461355714,-0.3139649440665599,-0.4735947256406915,831.9549387178417,NaN,1370.46,0.0,1443.93,-1.16,NaN,NaN,3.74,1.94,0.37,3.28
3.71,-0.944580488150682,0.023427173698053,-0.445535160350554,0.1020818820462954,693.8274531943686,NaN,1374.32,0.0,1443.67,-7.67,NaN,NaN,4.47,1.24,0.99,3.21
3.14,-2.1897389857973972,0.0236923141285476,-1.0261519723316326,1.1641123950200232,798.1898730106846,NaN,1394.79,-0.0,1461.52,-25.14,NaN,NaN,1.92,1.47,1.98,3.74
3.14,-0.1555707794613252,0.0231728763176444,-0.0121005050645476,-0.8483206645016926,794.2295908554776,NaN,1395.24,-0.0,1455.54,-24.82,NaN,NaN,1.82,1.45,1.9,3.74
4.28,-0.8752472567939501,0.0242087606582315,-0.3519677201347499,0.0822329450625973,630.130436454795,NaN,1382.24,0.0,1442.3,-10.91,NaN,NaN,3.79,1.77,1.22,3.27
2.64,0.6402387728750176,0.0236751249805034,0.4017666405655652,-1.595915102024327,726.2857613178536,NaN,1391.28,0.0,1451.87,-19.98,NaN,NaN,2.58,1.74,1.68,3.45
