redχsq,d1,d2,d3,d4,lam,pB,repL,impL,repH,impH,pB_g11,pB_g22,pL_g11,pL_g22,pH_g11,pH_g22
2.66,-1.146498945437406,0.0235168360364163,-0.4856005197464973,0.2134814614613107,703.7297277109235,NaN,1389.96,-0.0,1450.47,-18.57,NaN,NaN,2.79,1.8,1.61,3.39
2.53,0.2019032859806705,0.0238726943684469,0.214347684084577,-1.122285129918607,666.8147819332777,NaN,1388.99,-0.0,1452.26,-18.88,NaN,NaN,2.97,1.9,1.62,3.3
6.28,-0.5514049402186744,0.0239127140150417,-0.2097464724948904,-0.3283124996015065,732.315327260017,NaN,1395.08,-0.0,1435.7,-17.7,NaN,NaN,1.9,1.64,1.64,3.75
7.47,1.0678259884930277,0.0250708888499542,0.3927747157240885,-1.941318884416019,895.2196212391785,NaN,1378.27,0.0,1448.55,-1.01,NaN,NaN,3.03,1.73,0.33,3.18
2.63,-0.8335429478844175,0.0232052623185912,-0.3544128947838255,-0.1704810942395113,772.1588117232793,NaN,1390.58,-0.0,1458.71,-19.52,NaN,NaN,2.63,1.63,1.68,3.39
2.64,-0.8372748073547891,0.0236690674757246,-0.3251640711538606,-0.1480828790880631,729.9408411412139,NaN,1392.45,-0.0,1457.46,-22.83,NaN,NaN,2.4,1.71,1.83,3.5
3.22,0.0515309242268424,0.0215702734667964,0.0247430084637703,-0.9321871893256806,746.6576589196123,NaN,1376.2,-0.0,1445.32,-6.58,NaN,NaN,3.96,0.91,0.9,3.18
3.84,-0.2673690854885077,0.0243443879054321,-0.0703520510563202,-0.7717083112493699,836.5607297522682,NaN,1396.9,0.0,1461.86,-30.4,NaN,NaN,1.25,1.12,2.2,4.14
5.25,0.0535091665402265,0.0229315917971087,0.1541761657011411,-1.0726717309805127,773.5660280327158,1397.18,1464.42,43.63,1464.42,-43.63,0.93,1.08,2.57,4.44,2.57,4.44
2.27,-0.6702498702593176,0.0226560349585542,-0.2742282113214797,-0.2824224827057648,711.5273749748443,NaN,1378.33,0.0,1455.92,-13.15,NaN,NaN,4.12,1.66,1.31,3.01
4.16,-0.222870784849739,0.0243032530378897,-0.1923677404058592,-0.7357263892877759,954.6985263501176,NaN,1386.44,-0.0,1445.67,-1.18,NaN,NaN,2.5,0.37,0.37,3.47
2.69,-0.439971208461786,0.02329556789582,-0.1415599272720541,-0.415779868292957,640.463026187075,NaN,1370.27,-0.0,1449.84,-10.72,NaN,NaN,5.79,1.93,1.17,3.02
5.69,-0.9974345482227188,0.0240301871925381,-0.2538898631978747,-0.0138842734762293,676.7920629032384,1395.57,1479.35,-49.34,1479.35,-49.34,1.26,1.54,2.82,4.43,2.82,4.43
6.21,-0.0406976947120429,0.0225912527062575,-0.0013996560066223,-0.8001699440043379,734.5134891979369,NaN,1386.53,0.0,1435.19,-8.75,NaN,NaN,3.06,1.4,1.13,3.58
5.82,0.3672931111539692,0.0247457160171049,0.1848720998085164,-1.138765345881965,677.1647229163376,NaN,1365.85,-0.0,1439.25,-4.25,NaN,NaN,5.8,0.78,0.74,3.24
4.66,0.7157118319676289,0.0234837388879115,0.1691310872776925,-1.6028333859685433,976.6609732394732,NaN,1391.06,0.0,1456.14,-6.81,NaN,NaN,2.14,2.23,0.85,2.95
3.22,-0.8174415579057144,0.0226242438513113,-0.3524336038005821,-0.2135277598246382,820.9496339317359,NaN,1394.9,0.0,1462.07,-23.88,NaN,NaN,1.88,1.41,1.93,3.72
3.94,-0.1111236988842223,0.0235297456840691,0.05207554986232,-0.8709951069665759,749.1877235494084,NaN,1397.26,-0.0,1453.95,-31.03,NaN,NaN,1.03,1.01,2.11,3.85
3.12,0.5365856286817533,0.0243981930315616,0.2073642340401266,-1.5079503250023092,929.7075863481546,NaN,1385.46,-0.0,1448.14,-3.12,NaN,NaN,2.66,0.09,0.59,3.3
3.02,-0.3380714579693584,0.023342809392105,-0.3961710526599225,-0.4659195145279484,859.9923988490783,NaN,1370.87,0.0,1458.19,-8.17,NaN,NaN,3.74,3.14,0.96,2.75
2.62,-0.5929545072810762,0.0234505531870479,-0.2052392273452655,-0.4047669947141834,732.16621318692,NaN,1391.11,-0.0,1460.35,-21.88,NaN,NaN,2.61,1.74,1.82,3.44
6.56,-0.7898822809596218,0.0225202416801919,-0.5143361756280971,-0.0991930310995382,847.8398405830085,NaN,1364.75,0.0,1456.15,0.02,NaN,NaN,4.08,1.44,0.04,2.57
5.19,-0.6634845249409503,0.0235589808974633,-0.2806086892324967,-0.4022193771427703,903.7282147317654,1397.57,1470.83,38.04,1470.83,-38.04,0.51,0.53,2.74,5.13,2.74,5.13
3.75,0.8504065106389292,0.0229913121968787,0.5482382491509136,-1.7282521547160583,662.0384387417673,NaN,1394.12,-0.0,1445.86,-20.32,NaN,NaN,2.13,1.7,1.69,3.45
5.2,-0.9175743742742918,0.0233924704205864,-0.5153649457023297,0.013723280794001,856.8749799753837,NaN,1382.15,-0.0,1439.78,-2.5,NaN,NaN,3.0,0.11,0.56,3.51
2.27,-0.6520597072419305,0.0242374809949968,-0.2198754141808233,-0.2583836057947207,638.2681818820778,NaN,1372.85,0.0,1455.27,-13.83,NaN,NaN,5.46,2.2,1.36,2.98
4.2,-0.1071914120091855,0.0230052910351153,-0.0725515866053392,-0.8260000625934312,846.5619720734096,NaN,1387.79,0.0,1439.85,-7.84,NaN,NaN,2.72,0.98,1.02,3.62
2.48,-0.782660780783039,0.0250444368516416,-0.3323972228314815,-0.1016593686222935,667.9852176937248,NaN,1365.43,0.0,1450.73,-9.98,NaN,NaN,6.83,1.85,1.12,2.99
6.73,-0.7370880624047225,0.0249463110316479,-0.5747802239960236,-0.1751446893912869,1019.6452022202154,NaN,1393.85,0.0,1464.23,-6.81,NaN,NaN,1.81,2.07,0.89,2.39
2.46,-0.0660414151723092,0.0227336134195542,0.0950490196824838,-0.8568396531281808,653.7219052363537,NaN,1389.54,0.0,1454.42,-19.7,NaN,NaN,2.9,1.91,1.66,3.27
2.44,-0.8790923451556868,0.023951564336027,-0.2784293241655906,-0.0602613313638422,634.4444488132578,NaN,1391.32,0.0,1458.46,-22.5,NaN,NaN,2.65,1.9,1.81,3.3
4.24,-0.0423593604276643,0.02317120299006,0.0868439222071702,-0.8565903051728276,695.6458835345735,NaN,1395.7,-0.0,1444.12,-22.22,NaN,NaN,1.73,1.53,1.78,3.59
8.02,0.4056191285809369,0.0231013664164008,0.1483758435004591,-1.4158288335677554,870.3284054006537,NaN,1368.15,0.0,1464.23,1.46,NaN,NaN,3.94,0.15,0.39,1.68
8.25,-0.9864669437256912,0.0248646838641717,-0.4075230874383582,0.001414771125678,819.9760543475644,1396.54,1441.82,37.31,1441.82,-37.31,1.11,1.52,2.21,4.22,2.21,4.22
5.04,0.6870004286209975,0.0230750654486566,0.3957800314073747,-1.6641899371614528,822.6346445465877,NaN,1397.23,-0.0,1443.1,-25.86,NaN,NaN,1.05,1.06,1.91,4.0
2.32,-0.3708381879701875,0.0227664451590802,-0.0741575923513806,-0.5623643601310101,640.4329747906794,NaN,1372.55,-0.0,1458.41,-14.4,NaN,NaN,5.57,2.28,1.4,2.93
2.48,-0.1860176583352797,0.023727216939132,0.0051263205121187,-0.7305164758481837,673.9298410711189,NaN,1386.46,0.0,1451.49,-16.91,NaN,NaN,3.28,1.88,1.52,3.26
2.32,-1.2039413080682888,0.0227453752682412,-0.5540405009975915,0.2484156157085877,722.5546585626178,NaN,1375.29,-0.0,1456.25,-11.6,NaN,NaN,4.41,1.53,1.22,2.92
4.1,-0.6219453235038854,0.0236565136854714,-0.168959126864895,-0.3503774182035542,713.790879112201,NaN,1397.55,-0.0,1456.38,-33.44,NaN,NaN,0.62,0.65,2.18,3.8
5.11,-0.4589250815795466,0.0227927946734064,-0.1864865396079287,-0.5298042686669167,846.6011555776372,NaN,1397.32,-0.0,1443.46,-26.08,NaN,NaN,0.97,0.98,1.91,4.07
3.71,-0.871459956115474,0.0240310326141647,-0.4499165797936277,-0.0847395301589621,862.5505456055498,NaN,1389.3,0.0,1441.48,-9.54,NaN,NaN,2.58,1.09,1.12,3.65
6.17,-1.1394820593537196,0.0226070519257546,-0.7548272787730221,0.2678832631308731,887.6923834117449,NaN,1370.15,0.0,1461.48,2.54,NaN,NaN,3.52,2.36,0.51,2.15
4.89,-0.0257366905032981,0.0240214816668046,0.0480645302707457,-1.0146704516822147,863.6166625842524,NaN,1397.6,-0.0,1459.27,-36.2,NaN,NaN,0.15,0.16,2.37,4.51
6.76,-0.9430560808735938,0.0242212192021871,-0.5959792149590015,0.0478943713063703,883.0767512170418,NaN,1373.75,0.0,1452.96,-0.13,NaN,NaN,3.32,1.39,0.12,2.86
5.33,-0.651580124661479,0.0241519990889477,-0.1404538123739807,-0.2743061939931729,674.1281830494117,1397.32,NaN,NaN,1452.02,-33.85,0.85,1.01,NaN,NaN,2.11,3.64
4.35,-0.6853639262355093,0.0241546729271591,-0.2545219426182438,-0.2051835049360839,704.0709011655259,NaN,1394.01,-0.0,1441.78,-19.1,NaN,NaN,2.14,1.71,1.66,3.59
